query,expected doc_ids,expected doc_num,returned doc_ids,returned doc_num,precision,recall
"alas",The Merry Wives of Windsor,38,The Merry Wives of Windsor,41,0.93,1.00
,The Merry Wives of Windsor,,The Second part of King Henry the Fourth
,Winter's Tale,,"The Tragedy of Hamlet, Prince of Denmark"
,As You Like It,,The Taming of the Shrew
,Cymbeline,,Troilus and Cressida
,The Rape of Lucrece,,Romeo and Juliet
,"The Tragedy of Hamlet, Prince of Denmark",,King Lear
,Troilus and Cressida,,"Othello, the Moore of Venice"
,All's Well That Ends Well,,Measure for Measure
,Loves Labours Lost,,As You Like It
,Venus and Adonis,,Twelfth Night
,The Tempest,,The Merchant of Venice
,The Life and Death of Julius Caesar,,Antony and Cleopatra
,Much Ado About Nothing,,The First part of King Henry the Fourth
,King Lear,,Winter's Tale
,The Life and Death of Richard the Third,,The Life and Death of Julius Caesar
,Twelfth Night,,The Tragedy of Coriolanus
,Two Gentlemen of Verona,,The Life and Death of Richard the Third
,The Tragedy of Macbeth,,The Life and Death of Richard the Second
,The First part of King Henry the Fourth,,Much Ado About Nothing
,The Life and Death of Richard the Second,,A Midsummer Night's Dream
,Titus Andronicus,,Titus Andronicus
,The Life and Death of King John,,"Pericles, Prince of Tyre"
,"Othello, the Moore of Venice",,All's Well That Ends Well
,The Tragedy of Coriolanus,,Cymbeline
,The Second part of King Henry the Fourth,,The Life of King Henry the Fifth
,The Third part of King Henry the Sixth,,The Tragedy of Macbeth
,Timon of Athens,,The Second part of King Henry the Sixth
,The Second part of King Henry the Sixth,,The Life of King Henry the Eighth
,The Merchant of Venice,,Loves Labours Lost
,The Life of King Henry the Eighth,,The Third part of King Henry the Sixth
,Antony and Cleopatra,,The Comedy of Errors
,The Comedy of Errors,,Timon of Athens
,Romeo and Juliet,,The Life and Death of King John
,"Pericles, Prince of Tyre",,The First part of King Henry the Sixth
,Measure for Measure,,Two Gentlemen of Verona
,The Taming of the Shrew,,The Tempest
,The First part of King Henry the Sixth,,The Rape of Lucrece
,,,Venus and Adonis
,,,A FUNERAL ELEGY.
,,,A Lover's Complaint
"art",The Rape of Lucrece,41,The Rape of Lucrece,41,1.00,1.00
,The Merry Wives of Windsor,,The Second part of King Henry the Fourth
,Winter's Tale,,Venus and Adonis
,As You Like It,,Loves Labours Lost
,Cymbeline,,Romeo and Juliet
,The Rape of Lucrece,,The Merchant of Venice
,"The Tragedy of Hamlet, Prince of Denmark",,The First part of King Henry the Sixth
,Troilus and Cressida,,The Life and Death of Richard the Third
,All's Well That Ends Well,,Troilus and Cressida
,A Lover's Complaint,,The Life and Death of Julius Caesar
,Loves Labours Lost,,The Life and Death of Richard the Second
,Venus and Adonis,,A Midsummer Night's Dream
,The Tempest,,The Life and Death of King John
,The Life and Death of Julius Caesar,,The Third part of King Henry the Sixth
,Much Ado About Nothing,,The First part of King Henry the Fourth
,King Lear,,The Life of King Henry the Fifth
,The Life and Death of Richard the Third,,Titus Andronicus
,Twelfth Night,,"The Tragedy of Hamlet, Prince of Denmark"
,Two Gentlemen of Verona,,As You Like It
,The Tragedy of Macbeth,,Much Ado About Nothing
,The First part of King Henry the Fourth,,The Second part of King Henry the Sixth
,The Life and Death of Richard the Second,,Measure for Measure
,Titus Andronicus,,Cymbeline
,The Life and Death of King John,,King Lear
,"Othello, the Moore of Venice",,The Comedy of Errors
,A FUNERAL ELEGY.,,"Othello, the Moore of Venice"
,The Tragedy of Coriolanus,,"Pericles, Prince of Tyre"
,The Second part of King Henry the Fourth,,Two Gentlemen of Verona
,The Third part of King Henry the Sixth,,The Taming of the Shrew
,Timon of Athens,,Twelfth Night
,The Second part of King Henry the Sixth,,The Tempest
,The Merchant of Venice,,Timon of Athens
,The Life of King Henry the Eighth,,A FUNERAL ELEGY.
,Antony and Cleopatra,,The Tragedy of Coriolanus
,A Midsummer Night's Dream,,The Tragedy of Macbeth
,The Comedy of Errors,,The Merry Wives of Windsor
,Romeo and Juliet,,Winter's Tale
,"Pericles, Prince of Tyre",,Antony and Cleopatra
,Measure for Measure,,All's Well That Ends Well
,The Taming of the Shrew,,The Life of King Henry the Eighth
,The First part of King Henry the Sixth,,A Lover's Complaint
"aye",Romeo and Juliet,39,Romeo and Juliet,41,0.95,1.00
,The Merry Wives of Windsor,,The Life and Death of Richard the Second
,Winter's Tale,,The First part of King Henry the Sixth
,As You Like It,,The Second part of King Henry the Fourth
,Cymbeline,,The Third part of King Henry the Sixth
,The Rape of Lucrece,,Much Ado About Nothing
,"The Tragedy of Hamlet, Prince of Denmark",,The Life and Death of Richard the Third
,Troilus and Cressida,,"The Tragedy of Hamlet, Prince of Denmark"
,All's Well That Ends Well,,All's Well That Ends Well
,Loves Labours Lost,,A Midsummer Night's Dream
,The Tempest,,The Tragedy of Macbeth
,The Life and Death of Julius Caesar,,The Life and Death of King John
,Much Ado About Nothing,,The Rape of Lucrece
,King Lear,,The Second part of King Henry the Sixth
,The Life and Death of Richard the Third,,Troilus and Cressida
,Twelfth Night,,Cymbeline
,Two Gentlemen of Verona,,The Tragedy of Coriolanus
,The Tragedy of Macbeth,,The Tempest
,The First part of King Henry the Fourth,,The Taming of the Shrew
,The Life and Death of Richard the Second,,Winter's Tale
,Titus Andronicus,,The First part of King Henry the Fourth
,The Life and Death of King John,,Loves Labours Lost
,"Othello, the Moore of Venice",,"Pericles, Prince of Tyre"
,A FUNERAL ELEGY.,,Two Gentlemen of Verona
,The Tragedy of Coriolanus,,King Lear
,The Second part of King Henry the Fourth,,Timon of Athens
,The Third part of King Henry the Sixth,,The Merchant of Venice
,Timon of Athens,,Antony and Cleopatra
,The Second part of King Henry the Sixth,,The Comedy of Errors
,The Merchant of Venice,,The Merry Wives of Windsor
,The Life of King Henry the Eighth,,Measure for Measure
,Antony and Cleopatra,,As You Like It
,A Midsummer Night's Dream,,The Life and Death of Julius Caesar
,The Comedy of Errors,,"Othello, the Moore of Venice"
,Romeo and Juliet,,The Life of King Henry the Fifth
,"Pericles, Prince of Tyre",,Venus and Adonis
,Measure for Measure,,A FUNERAL ELEGY.
,The Taming of the Shrew,,The Life of King Henry the Eighth
,The First part of King Henry the Sixth,,Titus Andronicus
,,,Twelfth Night
,,,A Lover's Complaint
"beseech",Loves Labours Lost,36,Loves Labours Lost,41,0.88,1.00
,The Merry Wives of Windsor,,Romeo and Juliet
,Winter's Tale,,Troilus and Cressida
,As You Like It,,The Life of King Henry the Fifth
,Cymbeline,,The Rape of Lucrece
,"The Tragedy of Hamlet, Prince of Denmark",,The Life and Death of Richard the Third
,Troilus and Cressida,,The Life and Death of Richard the Second
,All's Well That Ends Well,,The Merchant of Venice
,A Lover's Complaint,,A Midsummer Night's Dream
,Loves Labours Lost,,The Life and Death of King John
,Venus and Adonis,,"Othello, the Moore of Venice"
,The Tempest,,The Life of King Henry the Eighth
,The Life and Death of Julius Caesar,,As You Like It
,Much Ado About Nothing,,"The Tragedy of Hamlet, Prince of Denmark"
,King Lear,,Two Gentlemen of Verona
,The Life and Death of Richard the Third,,Venus and Adonis
,Twelfth Night,,The Taming of the Shrew
,Two Gentlemen of Verona,,Winter's Tale
,The First part of King Henry the Fourth,,The Tragedy of Coriolanus
,The Life and Death of Richard the Second,,All's Well That Ends Well
,The Life and Death of King John,,The First part of King Henry the Fourth
,"Othello, the Moore of Venice",,"Pericles, Prince of Tyre"
,The Tragedy of Coriolanus,,Much Ado About Nothing
,The Second part of King Henry the Fourth,,Cymbeline
,The Third part of King Henry the Sixth,,Twelfth Night
,Timon of Athens,,The Comedy of Errors
,The Second part of King Henry the Sixth,,The Second part of King Henry the Fourth
,The Merchant of Venice,,The Third part of King Henry the Sixth
,The Life of King Henry the Eighth,,Timon of Athens
,Antony and Cleopatra,,The Merry Wives of Windsor
,A Midsummer Night's Dream,,Measure for Measure
,The Comedy of Errors,,King Lear
,Romeo and Juliet,,Titus Andronicus
,"Pericles, Prince of Tyre",,The Second part of King Henry the Sixth
,Measure for Measure,,Antony and Cleopatra
,The Taming of the Shrew,,The First part of King Henry the Sixth
,,,The Tempest
,,,A Lover's Complaint
,,,The Tragedy of Macbeth
,,,A FUNERAL ELEGY.
,,,The Life and Death of Julius Caesar
"betwixt",The Third part of King Henry the Sixth,19,The Third part of King Henry the Sixth,41,0.46,1.00
,As You Like It,,Romeo and Juliet
,Cymbeline,,Winter's Tale
,All's Well That Ends Well,,Antony and Cleopatra
,The Life and Death of Julius Caesar,,Cymbeline
,Much Ado About Nothing,,The Second part of King Henry the Fourth
,King Lear,,Two Gentlemen of Verona
,The Life and Death of Richard the Third,,The First part of King Henry the Sixth
,The First part of King Henry the Fourth,,The Second part of King Henry the Sixth
,The Life and Death of Richard the Second,,King Lear
,Titus Andronicus,,The Comedy of Errors
,The Life and Death of King John,,The Taming of the Shrew
,"Othello, the Moore of Venice",,The Tragedy of Macbeth
,The Third part of King Henry the Sixth,,The Tragedy of Coriolanus
,The Life of King Henry the Eighth,,The Life and Death of Julius Caesar
,Antony and Cleopatra,,Measure for Measure
,A Midsummer Night's Dream,,Titus Andronicus
,Measure for Measure,,The Life and Death of Richard the Third
,The First part of King Henry the Sixth,,The Life and Death of Richard the Second
,,,A Midsummer Night's Dream
,,,The Life of King Henry the Fifth
,,,The Life and Death of King John
,,,The Merchant of Venice
,,,"Othello, the Moore of Venice"
,,,The First part of King Henry the Fourth
,,,The Tempest
,,,"The Tragedy of Hamlet, Prince of Denmark"
,,,As You Like It
,,,The Life of King Henry the Eighth
,,,Troilus and Cressida
,,,All's Well That Ends Well
,,,Much Ado About Nothing
,,,Timon of Athens
,,,The Rape of Lucrece
,,,Loves Labours Lost
,,,A Lover's Complaint
,,,"Pericles, Prince of Tyre"
,,,Twelfth Night
,,,Venus and Adonis
,,,The Merry Wives of Windsor
,,,A FUNERAL ELEGY.
"blest",Timon of Athens,33,Timon of Athens,41,0.80,1.00
,The Merry Wives of Windsor,,King Lear
,Winter's Tale,,The Merchant of Venice
,As You Like It,,The Life and Death of Richard the Third
,Cymbeline,,Twelfth Night
,"The Tragedy of Hamlet, Prince of Denmark",,The Tempest
,Troilus and Cressida,,"The Tragedy of Hamlet, Prince of Denmark"
,All's Well That Ends Well,,Measure for Measure
,Venus and Adonis,,The Taming of the Shrew
,The Tempest,,As You Like It
,The Life and Death of Julius Caesar,,The Life of King Henry the Fifth
,King Lear,,"Pericles, Prince of Tyre"
,The Life and Death of Richard the Third,,"Othello, the Moore of Venice"
,Twelfth Night,,The Tragedy of Coriolanus
,Two Gentlemen of Verona,,Two Gentlemen of Verona
,The First part of King Henry the Fourth,,Cymbeline
,The Life and Death of Richard the Second,,The First part of King Henry the Fourth
,Titus Andronicus,,Much Ado About Nothing
,The Life and Death of King John,,The Merry Wives of Windsor
,"Othello, the Moore of Venice",,The Second part of King Henry the Fourth
,A FUNERAL ELEGY.,,Titus Andronicus
,The Tragedy of Coriolanus,,Winter's Tale
,The Second part of King Henry the Fourth,,A FUNERAL ELEGY.
,The Third part of King Henry the Sixth,,The Life and Death of Richard the Second
,Timon of Athens,,The First part of King Henry the Sixth
,The Second part of King Henry the Sixth,,Antony and Cleopatra
,The Merchant of Venice,,A Midsummer Night's Dream
,The Life of King Henry the Eighth,,Romeo and Juliet
,Antony and Cleopatra,,Troilus and Cressida
,A Midsummer Night's Dream,,The Third part of King Henry the Sixth
,Romeo and Juliet,,The Life of King Henry the Eighth
,"Pericles, Prince of Tyre",,The Life and Death of King John
,Measure for Measure,,The Comedy of Errors
,,,A Lover's Complaint
,,,The Life and Death of Julius Caesar
,,,The Tragedy of Macbeth
,,,The Rape of Lucrece
,,,All's Well That Ends Well
,,,Venus and Adonis
,,,The Second part of King Henry the Sixth
,,,Loves Labours Lost
"brave",Romeo and Juliet,33,Romeo and Juliet,41,0.80,1.00
,Winter's Tale,,King Lear
,As You Like It,,Timon of Athens
,Cymbeline,,The Life and Death of Richard the Third
,The Rape of Lucrece,,The Second part of King Henry the Sixth
,"The Tragedy of Hamlet, Prince of Denmark",,The Third part of King Henry the Sixth
,Troilus and Cressida,,Titus Andronicus
,All's Well That Ends Well,,Antony and Cleopatra
,Loves Labours Lost,,The First part of King Henry the Fourth
,The Tempest,,The First part of King Henry the Sixth
,The Life and Death of Julius Caesar,,The Tempest
,Much Ado About Nothing,,Twelfth Night
,King Lear,,As You Like It
,The Life and Death of Richard the Third,,Troilus and Cressida
,The Tragedy of Macbeth,,The Life and Death of Richard the Second
,The First part of King Henry the Fourth,,Cymbeline
,The Life and Death of Richard the Second,,The Second part of King Henry the Fourth
,Titus Andronicus,,The Taming of the Shrew
,The Life and Death of King John,,Two Gentlemen of Verona
,"Othello, the Moore of Venice",,All's Well That Ends Well
,The Tragedy of Coriolanus,,The Life and Death of King John
,The Second part of King Henry the Fourth,,"Othello, the Moore of Venice"
,The Third part of King Henry the Sixth,,Much Ado About Nothing
,Timon of Athens,,The Tragedy of Coriolanus
,The Second part of King Henry the Sixth,,The Merchant of Venice
,The Merchant of Venice,,A Midsummer Night's Dream
,The Life of King Henry the Eighth,,The Comedy of Errors
,Antony and Cleopatra,,Winter's Tale
,A Midsummer Night's Dream,,The Life of King Henry the Fifth
,Romeo and Juliet,,The Tragedy of Macbeth
,Measure for Measure,,"Pericles, Prince of Tyre"
,The Taming of the Shrew,,"The Tragedy of Hamlet, Prince of Denmark"
,The First part of King Henry the Sixth,,Loves Labours Lost
,,,The Life and Death of Julius Caesar
,,,The Merry Wives of Windsor
,,,Measure for Measure
,,,The Rape of Lucrece
,,,Venus and Adonis
,,,The Life of King Henry the Eighth
,,,A FUNERAL ELEGY.
,,,A Lover's Complaint
"cast",The Third part of King Henry the Sixth,37,The Third part of King Henry the Sixth,41,0.90,1.00
,The Merry Wives of Windsor,,King Lear
,Winter's Tale,,The Life and Death of King John
,As You Like It,,All's Well That Ends Well
,Cymbeline,,The Second part of King Henry the Sixth
,The Rape of Lucrece,,Timon of Athens
,"The Tragedy of Hamlet, Prince of Denmark",,Titus Andronicus
,Troilus and Cressida,,Antony and Cleopatra
,Loves Labours Lost,,The Rape of Lucrece
