query,expected doc_ids,expected doc_num,returned doc_ids,returned doc_num,precision,recall
"alas",A Lover's Complaint,38,A Lover's Complaint,31,0.90,0.74
,The Merry Wives of Windsor,,A FUNERAL ELEGY.
,Winter's Tale,,Venus and Adonis
,As You Like It,,The Rape of Lucrece
,Cymbeline,,The Tempest
,The Rape of Lucrece,,Two Gentlemen of Verona
,"The Tragedy of Hamlet, Prince of Denmark",,The First part of King Henry the Sixth
,Troilus and Cressida,,The Life and Death of King John
,All's Well That Ends Well,,Timon of Athens
,Loves Labours Lost,,The Comedy of Errors
,Venus and Adonis,,The Third part of King Henry the Sixth
,The Tempest,,Loves Labours Lost
,The Life and Death of Julius Caesar,,The Life of King Henry the Eighth
,Much Ado About Nothing,,The Second part of King Henry the Sixth
,King Lear,,The Tragedy of Macbeth
,The Life and Death of Richard the Third,,The Life of King Henry the Fifth
,Twelfth Night,,Cymbeline
,Two Gentlemen of Verona,,All's Well That Ends Well
,The Tragedy of Macbeth,,Titus Andronicus
,The First part of King Henry the Fourth,,"Pericles, Prince of Tyre"
,The Life and Death of Richard the Second,,Much Ado About Nothing
,Titus Andronicus,,A Midsummer Night's Dream
,The Life and Death of King John,,The Life and Death of Richard the Second
,"Othello, the Moore of Venice",,The Life and Death of Richard the Third
,The Tragedy of Coriolanus,,The Tragedy of Coriolanus
,The Second part of King Henry the Fourth,,The Life and Death of Julius Caesar
,The Third part of King Henry the Sixth,,Winter's Tale
,Timon of Athens,,The First part of King Henry the Fourth
,The Second part of King Henry the Sixth,,Antony and Cleopatra
,The Merchant of Venice,,Twelfth Night
,The Life of King Henry the Eighth,,The Merchant of Venice
,Antony and Cleopatra,,
,The Comedy of Errors,,
,Romeo and Juliet,,
,"Pericles, Prince of Tyre",,
,Measure for Measure,,
,The Taming of the Shrew,,
,The First part of King Henry the Sixth,,
"art",A Lover's Complaint,41,A Lover's Complaint,41,1.00,1.00
,The Merry Wives of Windsor,,The Life of King Henry the Eighth
,Winter's Tale,,All's Well That Ends Well
,As You Like It,,Antony and Cleopatra
,Cymbeline,,The Tragedy of Macbeth
,The Rape of Lucrece,,The Merry Wives of Windsor
,"The Tragedy of Hamlet, Prince of Denmark",,Winter's Tale
,Troilus and Cressida,,The Tragedy of Coriolanus
,All's Well That Ends Well,,A FUNERAL ELEGY.
,A Lover's Complaint,,Timon of Athens
,Loves Labours Lost,,The Tempest
,Venus and Adonis,,Twelfth Night
,The Tempest,,Two Gentlemen of Verona
,The Life and Death of Julius Caesar,,The Taming of the Shrew
,Much Ado About Nothing,,"Pericles, Prince of Tyre"
,King Lear,,King Lear
,The Life and Death of Richard the Third,,The Comedy of Errors
,Twelfth Night,,"Othello, the Moore of Venice"
,Two Gentlemen of Verona,,Cymbeline
,The Tragedy of Macbeth,,The Second part of King Henry the Sixth
,The First part of King Henry the Fourth,,Measure for Measure
,The Life and Death of Richard the Second,,As You Like It
,Titus Andronicus,,Much Ado About Nothing
,The Life and Death of King John,,"The Tragedy of Hamlet, Prince of Denmark"
,"Othello, the Moore of Venice",,Titus Andronicus
,A FUNERAL ELEGY.,,The First part of King Henry the Fourth
,The Tragedy of Coriolanus,,The Life of King Henry the Fifth
,The Second part of King Henry the Fourth,,The Third part of King Henry the Sixth
,The Third part of King Henry the Sixth,,The Life and Death of King John
,Timon of Athens,,A Midsummer Night's Dream
,The Second part of King Henry the Sixth,,The Life and Death of Richard the Second
,The Merchant of Venice,,The Life and Death of Julius Caesar
,The Life of King Henry the Eighth,,Troilus and Cressida
,Antony and Cleopatra,,The Life and Death of Richard the Third
,A Midsummer Night's Dream,,The First part of King Henry the Sixth
,The Comedy of Errors,,The Merchant of Venice
,Romeo and Juliet,,Romeo and Juliet
,"Pericles, Prince of Tyre",,Loves Labours Lost
,Measure for Measure,,Venus and Adonis
,The Taming of the Shrew,,The Second part of King Henry the Fourth
,The First part of King Henry the Sixth,,The Rape of Lucrece
"aye",A Lover's Complaint,39,A Lover's Complaint,41,0.95,1.00
,The Merry Wives of Windsor,,Twelfth Night
,Winter's Tale,,Titus Andronicus
,As You Like It,,A FUNERAL ELEGY.
,Cymbeline,,The Life of King Henry the Eighth
,The Rape of Lucrece,,The Life of King Henry the Fifth
,"The Tragedy of Hamlet, Prince of Denmark",,Venus and Adonis
,Troilus and Cressida,,As You Like It
,All's Well That Ends Well,,"Othello, the Moore of Venice"
,Loves Labours Lost,,The Life and Death of Julius Caesar
,The Tempest,,The Merry Wives of Windsor
,The Life and Death of Julius Caesar,,Timon of Athens
,Much Ado About Nothing,,The Merchant of Venice
,King Lear,,King Lear
,The Life and Death of Richard the Third,,Antony and Cleopatra
,Twelfth Night,,The Comedy of Errors
,Two Gentlemen of Verona,,Measure for Measure
,The Tragedy of Macbeth,,Two Gentlemen of Verona
,The First part of King Henry the Fourth,,The First part of King Henry the Fourth
,The Life and Death of Richard the Second,,Loves Labours Lost
,Titus Andronicus,,"Pericles, Prince of Tyre"
,The Life and Death of King John,,The Tempest
,"Othello, the Moore of Venice",,Winter's Tale
